BEYOND,#genre#
无奈是女人,http://em.21dtv.com/songs/60093441.mkv
问题女人,http://em.21dtv.com/songs/60044482.mkv
玩味,http://em.21dtv.com/songs/60043180.mkv
我心不死(演唱会),http://em.21dtv.com/songs/60046442.mkv
我也有懦弱的时候,http://em.21dtv.com/songs/60088874.mkv
萧邦与我,http://em.21dtv.com/songs/60049448.mkv
雪飞花,http://em.21dtv.com/songs/60072678.mkv
销魂夜(演唱会),http://em.21dtv.com/songs/60049451.mkv
心就要飞了,http://em.21dtv.com/songs/60050320.mkv
相恋300小时,http://em.21dtv.com/songs/60048685.mkv
心满意足(演唱会),http://em.21dtv.com/songs/60050382.mkv
相识非偶然(演唱会),http://em.21dtv.com/songs/60048707.mkv
夜半歌声(演唱会),http://em.21dtv.com/songs/60052526.mkv
夜半惊魂(演唱会),http://em.21dtv.com/songs/60052533.mkv
月半小夜曲(演唱会),http://em.21dtv.com/songs/60056279.mkv
yesterday once more(演唱会),http://em.21dtv.com/songs/60006461.mkv
夜机,http://em.21dtv.com/songs/60052579.mkv
月亮(演唱会),http://em.21dtv.com/songs/60056374.mkv
与泪抱拥(演唱会),http://em.21dtv.com/songs/60055581.mkv
夜了点,http://em.21dtv.com/songs/60052614.mkv
月亮的随想(演唱会),http://em.21dtv.com/songs/60056401.mkv
缘了就是完,http://em.21dtv.com/songs/60056103.mkv
永远爱你的人,http://em.21dtv.com/songs/60054671.mkv
最爱是谁(演唱会),http://em.21dtv.com/songs/60060101.mkv
最后的缠绵,http://em.21dtv.com/songs/60060171.mkv
正是爱,http://em.21dtv.com/songs/60058353.mkv
左右手(演唱会),http://em.21dtv.com/songs/60060660.mkv
这一天,http://em.21dtv.com/songs/60057948.mkv

动力火车,#genre#
哀悼疯癫,http://em.21dtv.com/songs/60007083.mkv
爱给错让你想走,http://em.21dtv.com/songs/60090754.mkv
爱就够了,http://em.21dtv.com/songs/60090752.mkv
艾琳娜,http://em.21dtv.com/songs/60074291.mkv
爱已经,http://em.21dtv.com/songs/60090753.mkv
彼此,http://em.21dtv.com/songs/60122537.mkv
不过,http://em.21dtv.com/songs/60090736.mkv
不甘心不放手,http://em.21dtv.com/songs/60011097.mkv
不甘心放手,http://em.21dtv.com/songs/60089176.mkv
不会哭的人,http://em.21dtv.com/songs/60011158.mkv
不能阻止我喝醉,http://em.21dtv.com/songs/60090734.mkv
背叛情歌,http://em.21dtv.com/songs/60010255.mkv
不要背着我流眼泪,http://em.21dtv.com/songs/60090735.mkv
不要怪我,http://em.21dtv.com/songs/60011555.mkv
不要再说爱我,http://em.21dtv.com/songs/60011643.mkv
翅膀之歌,http://em.21dtv.com/songs/60090756.mkv
冲动,http://em.21dtv.com/songs/60012847.mkv
彩虹,http://em.21dtv.com/songs/60011926.mkv
除了爱你还能爱谁,http://em.21dtv.com/songs/60013051.mkv
残缺的完整,http://em.21dtv.com/songs/60082693.mkv
从前以后,http://em.21dtv.com/songs/60013564.mkv
沉重的回忆,http://em.21dtv.com/songs/60090749.mkv
沉重的记忆,http://em.21dtv.com/songs/60090750.mkv
当,http://em.21dtv.com/songs/60014480.mkv
当(HD),http://em.21dtv.com/songs/10012713.mkv
单程车票(演唱会),http://em.21dtv.com/songs/60014327.mkv
第二次分手,http://em.21dtv.com/songs/60015170.mkv
淡而无味,http://em.21dtv.com/songs/60090751.mkv
东方的光,http://em.21dtv.com/songs/60082849.mkv
打开天空,http://em.21dtv.com/songs/60013795.mkv
地老地老地老天荒天荒(演唱会),http://em.21dtv.com/songs/60015096.mkv
动力火车,http://em.21dtv.com/songs/60015654.mkv
dont break my heart,http://em.21dtv.com/songs/60001305.mkv
多想给你一些,http://em.21dtv.com/songs/60090741.mkv
第一滴泪,http://em.21dtv.com/songs/60015255.mkv
风光明媚,http://em.21dtv.com/songs/60017297.mkv
奉陪,http://em.21dtv.com/songs/60080490.mkv
分手快乐,http://em.21dtv.com/songs/60068251.mkv
光,http://em.21dtv.com/songs/60082978.mkv
姑娘的酒窝(演唱会),http://em.21dtv.com/songs/60018942.mkv
管你嫁给谁,http://em.21dtv.com/songs/60090755.mkv
跟自己合唱,http://em.21dtv.com/songs/60130131.mkv
好吧,http://em.21dtv.com/songs/60019969.mkv
回想,http://em.21dtv.com/songs/60022212.mkv
荒野,http://em.21dtv.com/songs/60090757.mkv
还隐隐作痛,http://em.21dtv.com/songs/60019653.mkv
厚重的记忆,http://em.21dtv.com/songs/60021123.mkv
酒干倘卖无,http://em.21dtv.com/songs/60098165.mkv
寂寞是思念,http://em.21dtv.com/songs/60090742.mkv
寂寞无赖,http://em.21dtv.com/songs/60075986.mkv
给你爱but you lie(演唱会),http://em.21dtv.com/songs/60018490.mkv
寄生人,http://em.21dtv.com/songs/60022804.mkv
继续转动,http://em.21dtv.com/songs/60022785.mkv
酒醉的探戈,http://em.21dtv.com/songs/60024482.mkv
酒醉的探戈(演唱会),http://em.21dtv.com/songs/60024480.mkv
酒醉的探戈2001,http://em.21dtv.com/songs/60024484.mkv
可不可能,http://em.21dtv.com/songs/60025272.mkv
乱乱的,http://em.21dtv.com/songs/60090737.mkv
路人甲,http://em.21dtv.com/songs/60027955.mkv
梨山痴情花,http://em.21dtv.com/songs/60026819.mkv
面不改色,http://em.21dtv.com/songs/60030017.mkv
陌生的夜,http://em.21dtv.com/songs/60030406.mkv
迷汤,http://em.21dtv.com/songs/60132261.mkv
明天的明天的明天,http://em.21dtv.com/songs/60030176.mkv
莫忘初衷,http://em.21dtv.com/songs/60076750.mkv
没有你在爱不像爱,http://em.21dtv.com/songs/60028844.mkv
你爱的这个世界,http://em.21dtv.com/songs/60090739.mkv
你不在我身边好冷,http://em.21dtv.com/songs/60095268.mkv
你和我一样,http://em.21dtv.com/songs/60090738.mkv
那就这样吧,http://em.21dtv.com/songs/60030716.mkv
你快乐所以我快乐(演唱会),http://em.21dtv.com/songs/60031871.mkv
你是我的眼,http://em.21dtv.com/songs/60032124.mkv
南下北上,http://em.21dtv.com/songs/60031152.mkv
逆向行驶(演唱会),http://em.21dtv.com/songs/60032610.mkv
热量,http://em.21dtv.com/songs/60112550.mkv
热情的沙漠,http://em.21dtv.com/songs/60036260.mkv
热情的沙漠(演唱会),http://em.21dtv.com/songs/60036260.mkv
输了爱情赢得寂寞,http://em.21dtv.com/songs/60039754.mkv
sorry sunday,http://em.21dtv.com/songs/60005195.mkv
天空,http://em.21dtv.com/songs/60099123.mkv
他一定很爱你,http://em.21dtv.com/songs/60041120.mkv
天真的双眼,http://em.21dtv.com/songs/60042314.mkv
我爱过你,http://em.21dtv.com/songs/60044576.mkv
我爱你爱了那么久,http://em.21dtv.com/songs/60087437.mkv
我爱你爱了这么久,http://em.21dtv.com/songs/60044628.mkv
我不想,http://em.21dtv.com/songs/60090745.mkv
我不知道,http://em.21dtv.com/songs/60044930.mkv
我的改变,http://em.21dtv.com/songs/60045066.mkv
我都要等,http://em.21dtv.com/songs/60090747.mkv
我答应你,http://em.21dtv.com/songs/60044962.mkv
我能给你什么,http://em.21dtv.com/songs/60090746.mkv
无情的情书,http://em.21dtv.com/songs/60047332.mkv
我若不曾爱过你,http://em.21dtv.com/songs/60046045.mkv
外套,http://em.21dtv.com/songs/60043084.mkv
我要等,http://em.21dtv.com/songs/60046518.mkv
幸福的海,http://em.21dtv.com/songs/60090744.mkv
寻觅幸福的感觉,http://em.21dtv.com/songs/60051825.mkv
寻觅幸福的感受,http://em.21dtv.com/songs/60090743.mkv
想你是临睡的习惯,http://em.21dtv.com/songs/60104843.mkv
潇洒的走,http://em.21dtv.com/songs/60165841.mkv
下一站,http://em.21dtv.com/songs/60123702.mkv
夜的黄昏,http://em.21dtv.com/songs/60052554.mkv
有话直说,http://em.21dtv.com/songs/60055148.mkv
摇篮曲,http://em.21dtv.com/songs/60052279.mkv
要么就分开,http://em.21dtv.com/songs/60090758.mkv
也许有一天,http://em.21dtv.com/songs/60052450.mkv
永远拥抱你,http://em.21dtv.com/songs/60054795.mkv
挚爱,http://em.21dtv.com/songs/60090748.mkv
再会吧我的心上人(演唱会),http://em.21dtv.com/songs/60056772.mkv
最后一种快乐,http://em.21dtv.com/songs/60060303.mkv
再见我的爱人,http://em.21dtv.com/songs/60056901.mkv
镇守爱情,http://em.21dtv.com/songs/60058304.mkv
珍惜,http://em.21dtv.com/songs/60084536.mkv
忠孝东路走九遍,http://em.21dtv.com/songs/60059004.mkv
终于明白,http://em.21dtv.com/songs/60059043.mkv
只有我没人陪,http://em.21dtv.com/songs/60090740.mkv

邓丽君,#genre#
爱的理想,http://em.21dtv.com/songs/60007294.mkv
爱的秘密,http://em.21dtv.com/songs/60007323.mkv
爱的你呀何处寻,http://em.21dtv.com/songs/60007336.mkv
爱的你呀何处寻(演唱会),http://em.21dtv.com/songs/60007335.mkv
爱的使者,http://em.21dtv.com/songs/60007366.mkv
爱的鱼,http://em.21dtv.com/songs/60007443.mkv
爱的箴言,http://em.21dtv.com/songs/60007456.mkv
阿里山的姑娘,http://em.21dtv.com/songs/60095225.mkv
阿妈的话(演唱会),http://em.21dtv.com/songs/60006781.mkv
爱你一万倍,http://em.21dtv.com/songs/60008018.mkv
安平追想曲,http://em.21dtv.com/songs/60009326.mkv
爱人,http://em.21dtv.com/songs/60008537.mkv
爱人(演唱会),http://em.21dtv.com/songs/60008534.mkv
爱人就是我,http://em.21dtv.com/songs/60008570.mkv
爱人是个多情人,http://em.21dtv.com/songs/60008580.mkv
爱像一首歌,http://em.21dtv.com/songs/60008994.mkv
爱像一首歌(演唱会),http://em.21dtv.com/songs/60008992.mkv
爱雨,http://em.21dtv.com/songs/60089499.mkv
爱在我心中,http://em.21dtv.com/songs/60009198.mkv
把爱埋在心窝,http://em.21dtv.com/songs/60009538.mkv
别把眉儿皱,http://em.21dtv.com/songs/60010565.mkv
beat it(演唱会),http://em.21dtv.com/songs/60000488.mkv
不管你是谁,http://em.21dtv.com/songs/60011126.mkv
北国之春(演唱会),http://em.21dtv.com/songs/60010174.mkv
北国の春(演唱会),http://em.21dtv.com/songs/60010172.mkv
别离,http://em.21dtv.com/songs/60103601.mkv
不论今宵或明天,http://em.21dtv.com/songs/60011237.mkv
不着痕迹,http://em.21dtv.com/songs/60011778.mkv
采槟榔,http://em.21dtv.com/songs/60011900.mkv
春风满小城,http://em.21dtv.com/songs/60013239.mkv
船歌(演唱会),http://em.21dtv.com/songs/60013144.mkv
偿还,http://em.21dtv.com/songs/60012289.mkv
偿还(演唱会),http://em.21dtv.com/songs/60012286.mkv
从今日起你,http://em.21dtv.com/songs/60013517.mkv
初恋的情人,http://em.21dtv.com/songs/60013013.mkv
彩霞回来吧,http://em.21dtv.com/songs/60088742.mkv
彩云飞(演唱会),http://em.21dtv.com/songs/60011960.mkv
春在岁岁年年,http://em.21dtv.com/songs/60013373.mkv
歹歹尪吃抹空,http://em.21dtv.com/songs/60014242.mkv
designer music,http://em.21dtv.com/songs/60001212.mkv
地久天长,http://em.21dtv.com/songs/60015093.mkv
多情的玫瑰,http://em.21dtv.com/songs/60016148.mkv
东山飘雨西山晴,http://em.21dtv.com/songs/60015555.mkv
独上西楼,http://em.21dtv.com/songs/60015803.mkv
独上西楼(演唱会),http://em.21dtv.com/songs/60015801.mkv
冬天的回忆,http://em.21dtv.com/songs/60156628.mkv
但愿人长久(演唱会),http://em.21dtv.com/songs/60014427.mkv
冬之恋情,http://em.21dtv.com/songs/60015619.mkv
恩爱夫妻,http://em.21dtv.com/songs/60102772.mkv
every breath you take(演唱会),http://em.21dtv.com/songs/60001539.mkv
风从哪里来,http://em.21dtv.com/songs/60017254.mkv
fire(演唱会),http://em.21dtv.com/songs/60001679.mkv
flash dance(演唱会),http://em.21dtv.com/songs/60001699.mkv
风霜伴我行,http://em.21dtv.com/songs/60017374.mkv
釜山港へ帰れ(演唱会),http://em.21dtv.com/songs/60017709.mkv
枫叶飘飘,http://em.21dtv.com/songs/60095100.mkv
告诉你告诉我,http://em.21dtv.com/songs/60018291.mkv
高山青,http://em.21dtv.com/songs/60018219.mkv
古树下,http://em.21dtv.com/songs/60018993.mkv
恨不相逢未嫁时,http://em.21dtv.com/songs/60020691.mkv
红豆,http://em.21dtv.com/songs/60020818.mkv
后悔爱上你,http://em.21dtv.com/songs/60021086.mkv
黄昏里,http://em.21dtv.com/songs/60021956.mkv
嘿嘿小可爱,http://em.21dtv.com/songs/60020621.mkv
好梦太匆匆,http://em.21dtv.com/songs/60149502.mkv
回娘家,http://em.21dtv.com/songs/60066041.mkv
何日君再来(双语种)(演唱会),http://em.21dtv.com/songs/60020385.mkv
何日君再来(演唱会),http://em.21dtv.com/songs/60020373.mkv
海棠姑娘,http://em.21dtv.com/songs/60019812.mkv
海韵,http://em.21dtv.com/songs/60019828.mkv
海韵(演唱会),http://em.21dtv.com/songs/60019827.mkv
好预兆,http://em.21dtv.com/songs/60075700.mkv
i have never been to me,http://em.21dtv.com/songs/60002541.mkv
i just called to say i love you,http://em.21dtv.com/songs/60002550.mkv
i love rockn roll,http://em.21dtv.com/songs/60002582.mkv
郊道(演唱会),http://em.21dtv.com/songs/60023462.mkv
几多愁(演唱会),http://em.21dtv.com/songs/60022646.mkv
记得你记得我,http://em.21dtv.com/songs/60022692.mkv
假如梦儿是真的,http://em.21dtv.com/songs/60023106.mkv
假如我是真的,http://em.21dtv.com/songs/60023119.mkv
襟裳岬(演唱会),http://em.21dtv.com/songs/60024114.mkv
江水要比河水长,http://em.21dtv.com/songs/60102774.mkv
江水悠悠泪长流,http://em.21dtv.com/songs/60023363.mkv
给我一个吻,http://em.21dtv.com/songs/60109644.mkv
君心我心,http://em.21dtv.com/songs/60024930.mkv
九月的故事,http://em.21dtv.com/songs/60024354.mkv
寄语多情人,http://em.21dtv.com/songs/60102771.mkv
今夜想起你,http://em.21dtv.com/songs/60024012.mkv
酒醉的探戈,http://em.21dtv.com/songs/60024481.mkv
君在前哨(演唱会),http://em.21dtv.com/songs/60024931.mkv
今でも(演唱会),http://em.21dtv.com/songs/60023738.mkv
空港,http://em.21dtv.com/songs/60123221.mkv
空港(演唱会),http://em.21dtv.com/songs/60025451.mkv
快乐的出帆,http://em.21dtv.com/songs/60025711.mkv
路边的野花不要采(演唱会),http://em.21dtv.com/songs/60027922.mkv
留不住你的心,http://em.21dtv.com/songs/60027524.mkv
旅愁,http://em.21dtv.com/songs/60028138.mkv
来电是有缘,http://em.21dtv.com/songs/60103604.mkv
泪的小雨,http://em.21dtv.com/songs/60026519.mkv
绿岛小夜曲,http://em.21dtv.com/songs/60168222.mkv
脸儿微笑花儿香(演),http://em.21dtv.com/songs/60100492.mkv
浪花节だよ人生は(演唱会),http://em.21dtv.com/songs/60026216.mkv
浪子心声,http://em.21dtv.com/songs/60026302.mkv
乱されて(演唱会),http://em.21dtv.com/songs/60027984.mkv
梦,http://em.21dtv.com/songs/60029465.mkv
漫步人生路,http://em.21dtv.com/songs/60028564.mkv
梅花,http://em.21dtv.com/songs/60028977.mkv
美酒加咖啡,http://em.21dtv.com/songs/60029130.mkv
妈妈的歌,http://em.21dtv.com/songs/60028226.mkv
妈妈呼唤你,http://em.21dtv.com/songs/60028258.mkv
卖肉棕,http://em.21dtv.com/songs/60028474.mkv
卖肉粽(演唱会),http://em.21dtv.com/songs/60028475.mkv
莫忘今宵(演唱会),http://em.21dtv.com/songs/60030436.mkv
